Document samples/pg2701.txt
lodged 9 4.29409
villages 4 1.90849
years 97 0
crucified 1 0.477121
oaks 3 1.43136
drowning 3 1.43136
new 102 0
solitudes 2 0.954243
surly 1 0.477121
peculiar 56 9.86111
without 164 0
israelites 1 0.477121
men 244 0
banned 1 0.176091
chewing 1 0.477121
disasters 4 1.90849
material 8 1.40873
invested 21 10.0195
railways 1 0.477121
professions 2 0.954243
hugest 4 0.704365
willingness 1 0.477121
porpoise 19 9.0653
sprat 1 0.477121
ribbed 7 3.33985
rolling 35 6.16319
knitting 2 0.954243
butchers 4 1.90849
overdoing 1 0.477121
scattered 9 1.58482
lie 27 0
davis 2 0.954243
breast 7 1.23264
swims 8 1.40873
vagrant 1 0.477121
reads 2 0.352183
dancing 9 4.29409
troil 1 0.477121
therefore 67 11.7981
thieves 2 0.954243
diadem 1 0.477121
earliest 3 0.528274
antiochus 1 0.477121
dive 8 3.81697
staggering 2 0.954243
slippery 6 2.86273
intervened 1 0.477121
ringed 4 1.90849
jet 32 15.2679
rokovoko 3 1.43136
annually 1 0.477121
emblematical 2 0.954243
unusable 1 0.477121
merchant 19 9.0653
ribbons 1 0.477121
draws 1 0.176091
have 776 0
sogger 1 0.477121
weeps 1 0.176091
politely 4 1.90849
marred 2 0.954243
breath 18 3.16964
mighty 47 8.27629
girdled 3 1.43136
durable 1 0.477121
permit 3 0.528274
sixty 17 8.11106
indite 1 0.477121
water 190 33.4573
ne 3 0
monied 1 0.477121
rowing 8 3.81697
unbodied 1 0.477121
bonnet 2 0.954243
fuller 3 1.43136
nuee 4 1.90849
bright 25 4.40228
huge 30 5.28274
will 400 0
campagna 1 0.477121
stead 1 0.176091
prey 14 2.46528
gamesome 5 2.38561
chance 46 8.1002
atlantic 19 9.0653
angel 7 3.33985
fairly 16 7.63394
smokers 1 0.477121
ceases 2 0.954243
profundities 4 1.90849
concurring 1 0.477121
oasis 1 0.477121
stroke 16 2.81746
metropolis 1 0.477121
christians 7 3.33985
fruition 1 0.477121
nicholas 1 0.477121
visitors 3 0.528274
frankincense 1 0.477121
calamity 2 0.352183
ten 48 0
youngest 1 0.477121
exterminated 1 0.176091
intricacies 4 1.90849
spitzbergen 5 2.38561
wide 50 8.80456
parsee 28 13.3594
tucked 3 1.43136
up 526 0
task 10 4.77121
showed 16 2.81746
yellowish 2 0.954243
troops 2 0.352183
researches 3 1.43136
benches 2 0.352183
imperilled 2 0.954243
doors 8 1.40873
sleeps 7 3.33985
set 84 0
missed 1 0.176091
hush 3 1.43136
grab 1 0
dotings 1 0.477121
harm 8 1.40873
cranmer 1 0.477121
cork 4 1.90849
filed 3 1.43136
claps 4 1.90849
sail 102 17.9613
glassy 4 1.90849
produced 7 0
curbstone 2 0.954243
elbe 1 0.477121
bosoms 2 0.954243
folger 1 0.477121
avast 22 10.4967
buffalo 10 4.77121
fable 5 2.38561
shaved 2 0.954243
spectacle 7 3.33985
winter 12 0
deviations 1 0.477121
frequently 15 2.64137
locked 16 2.81746
paddled 3 1.43136
comedies 1 0.477121
humorousness 2 0.954243
mixing 1 0.176091
pursue 2 0.954243
vide 1 0.477121
dismemberer 1 0.477121
white 281 134.071
infuriated 1 0.176091
peaceable 4 0.704365
forlornly 1 0.477121
fangs 3 1.43136
osseous 1 0.477121
punctual 1 0.477121
development 2 0.954243
harpstring 1 0.477121
fitful 2 0.954243
voyager 4 1.90849
